,Sp
0,[1.0]
1,[1.0]
2,[0.9161237925291061]
3,[0.9161237925291061]
4,[1.0]
5,[1.0]
6,[0.9806056991219521]
7,[0.9806056991219521]
8,[1.0]
9,[1.0]
10,[0.3681405186653137]
11,[0.3681405186653137]
12,[0.6624041497707367]
13,[0.6624041497707367]
14,[0.9995322671020404]
15,[0.9995322671020404]
16,[1.0]
17,[1.0]
18,[0.9794186241924763]
19,[0.9794186241924763]
20,[0.13757914304733276]
21,[0.13757914304733276]
22,[1.0]
23,[1.0]
24,[0.3082714080810547]
25,[0.3082714080810547]
26,[0.414281964302063]
27,[0.414281964302063]
28,[0.7249892354011536]
29,[0.7249892354011536]
30,[0.2967650890350342]
31,[0.2967650890350342]
32,[1.0]
33,[1.0]
34,[0.9384097456932068]
35,[0.9384097456932068]
36,[0.6432526111602783]
37,[0.6432526111602783]
38,[0.4717305898666382]
39,[0.4717305898666382]
40,[0.6881214082241058]
41,[0.6881214082241058]
42,[1.0]
43,[1.0]
44,[1.0]
45,[1.0]
46,[1.0]
47,[1.0]
48,[1.0]
49,[1.0]
50,[0.9582129791378975]
51,[0.9582129791378975]
52,[0.3242369294166565]
53,[0.3242369294166565]
54,[1.0]
55,[1.0]
56,[0.9839159585535526]
57,[0.9839159585535526]
58,[0.8378888964653015]
59,[0.8378888964653015]
60,[0.21455055475234985]
61,[0.21455055475234985]
62,[0.08716422319412231]
63,[0.08716422319412231]
64,[0.4505440592765808]
65,[0.4505440592765808]
66,[0.46504276990890503]
67,[0.46504276990890503]
68,[1.0]
69,[1.0]
70,[0.08299851417541504]
71,[0.08299851417541504]
72,[0.06008768081665039]
73,[0.06008768081665039]
74,[1.0]
75,[1.0]
76,[1.0]
77,[1.0]
78,[0.07360297441482544]
79,[0.07360297441482544]
80,[1.0]
81,[1.0]
82,[1.0]
83,[1.0]
84,[0.33960020542144775]
85,[0.33960020542144775]
86,[0.5182284712791443]
87,[0.5182284712791443]
88,[0.5791314244270325]
89,[0.5791314244270325]
90,[1.0]
91,[1.0]
92,[0.4253939986228943]
93,[0.4253939986228943]
94,[0.6408144533634186]
95,[0.6408144533634186]
96,[1.0]
97,[1.0]
98,[0.7949545681476593]
99,[0.7949545681476593]
100,[1.0]
101,[1.0]
102,[0.4272526502609253]
103,[0.4272526502609253]
104,[0.6103032827377319]
105,[0.6103032827377319]
106,[0.08774536848068237]
107,[0.08774536848068237]
108,[1.0]
109,[1.0]
110,[1.0]
111,[1.0]
